,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,minute
174,296,6.6,5,4,0,1,671,9,0,7.818,18.0,8,35.0,-13.336,166.875,427,6,55,2019,1,15,18,6
175,306,6.6,2,4,0,1,672,9,0,1.596,33.0,8,43.21,2.258,126.758,277,6,20,2019,1,6,17,27
176,516,6.8,3,3,0,0,715,9,0,1.181,16.0,8,570.41,-8.144,-71.587,445,5,7,2019,1,5,19,25
177,674,7.0,5,5,0,1,803,9,0,1.769,21.0,8,60.21,5.8983,126.921,348,6,54,2018,12,29,3,39
178,795,7.3,3,7,0,1,822,9,0,4.126,23.0,8,16.56,55.0999,164.699,472,6,54,2018,12,20,17,1
179,738,7.1,0,5,0,1,776,9,0,7.043,20.0,8,133.0,-58.5446,-26.3856,430,6,43,2018,12,11,2,26
180,207,6.6,0,4,0,1,670,9,0,2.679,31.0,8,10.0,-22.0629,169.733,442,6,54,2018,12,5,6,43
181,848,7.5,3,6,0,1,871,9,0,2.405,18.0,8,10.0,-21.9496,169.427,442,6,54,2018,12,5,4,18
182,685,7.1,8,8,1,1,1790,0,0,0.0,0.0,5,46.7,61.3464,-149.955,347,3,53,2018,11,30,17,29
183,458,6.8,0,3,0,1,711,9,0,2.879,39.0,8,540.0,-17.8735,-178.927,229,6,14,2018,11,18,20,25
184,328,6.7,3,4,0,1,693,9,0,7.853,19.0,8,10.0,71.6312,-11.2431,319,6,54,2018,11,9,1,49
185,475,6.8,8,7,3,0,954,9,0,2.268,15.0,8,14.0,37.5203,20.5565,233,2,54,2018,10,25,22,54
186,54,6.5,2,4,0,0,655,9,0,1.692,68.0,8,10.0,49.297,-129.724,351,6,54,2018,10,22,6,22
187,461,6.8,4,4,0,1,776,9,0,1.505,36.0,8,10.0,49.3346,-129.289,351,6,54,2018,10,22,6,16
188,49,6.5,3,4,0,1,669,9,0,1.611,63.0,8,10.0,49.2586,-129.412,351,6,54,2018,10,22,5,39
189,38,6.5,0,4,0,1,650,9,0,2.109,22.0,8,17.0,-21.7427,169.522,442,6,54,2018,10,16,1,3
190,368,6.7,0,3,0,1,691,9,0,2.705,17.0,8,461.0,52.8549,153.243,321,6,54,2018,10,13,11,10
191,34,6.5,0,4,0,1,650,9,0,3.923,14.0,8,20.0,49.2902,156.297,417,6,54,2018,10,10,23,16
192,624,7.0,6,6,0,1,758,9,0,1.778,18.0,8,39.0,-5.7012,151.205,195,6,35,2018,10,10,20,48
193,369,6.7,2,3,0,1,691,9,0,3.745,23.0,8,550.0,-18.3604,-178.063,229,6,14,2018,9,30,10,52
194,862,7.5,8,8,2,0,2026,9,0,1.649,13.0,8,20.0,-0.2559,119.846,331,6,20,2018,9,28,10,2
195,159,6.5,4,1,0,0,651,9,0,5.139,18.0,8,576.0,-25.415,178.199,496,6,54,2018,9,16,21,11
196,604,6.9,3,4,0,0,735,9,0,2.785,18.0,8,115.0,-31.7447,-179.373,190,6,54,2018,9,10,4,19
197,112,6.5,3,6,0,1,651,9,0,1.638,25.0,8,68.0,-10.0207,161.503,197,6,42,2018,9,9,19,31
198,944,7.9,7,4,0,1,979,9,0,1.431,12.0,8,670.81,-18.4743,179.35,229,6,14,2018,9,6,15,49
199,230,6.6,8,9,1,1,1075,9,0,1.13,32.0,8,35.0,42.6861,141.929,92,1,23,2018,9,5,18,7
200,703,7.1,2,5,0,1,776,9,0,2.548,23.0,8,21.43,-22.0295,170.126,442,6,54,2018,8,29,3,51
201,689,7.1,0,3,0,0,776,9,0,3.77,12.0,8,630.0,-11.0355,-70.8284,165,5,37,2018,8,24,9,4
202,119,6.5,6,7,0,1,652,9,0,4.797,10.0,8,9.0,-16.0315,168.143,222,6,55,2018,8,21,22,32
